Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty
What is the fundamental unit of data in Spark?,RDD,DataFrame,Dataset,Partition,A,Average
Which Spark component builds the logical execution plan?,Executor,Driver,DAG Scheduler,Task Scheduler,C,Average
Which is NOT a Spark transformation?,map,filter,reduce,flatMap,C,Average
Which Spark action triggers execution?,select,map,withColumn,show,D,Average
RDDs are best described as?,Mutable collections,Distributed immutable collections,Local datasets,Streaming buffers,B,Average
Which API provides schema enforcement?,RDD,DataFrame,Accumulator,Broadcast variable,B,Average
What does lazy evaluation mean in Spark?,Immediate execution,Execution after each transformation,Execution only after an action,Execution on driver only,C,Average
Which function converts RDD to DataFrame?,toDF(),createRDD(),parallelize(),makeDF(),A,Average
What does sc.parallelize() do?,Reads HDFS,Creates RDD from local collection,Creates DataFrame,Creates Dataset,B,Average
Which operation causes a shuffle?,map,filter,groupByKey,flatMap,C,Average
Which is a wide transformation?,map,filter,groupBy,select,C,Average
Which Spark API is type-safe?,RDD,DataFrame,Dataset,None,B,Average
What is the default partitioner for Pair RDDs?,RangePartitioner,HashPartitioner,Custom,None,B,Average
Which storage level stores data in memory only?,MEMORY_ONLY,DISK_ONLY,MEMORY_AND_DISK,OFF_HEAP,A,Average
Which function removes duplicate rows in DataFrame?,unique(),distinct(),drop(),remove(),B,Average
What does df.count() return?,Total columns,Total rows,Total partitions,Total stages,B,Average
Which command shows DataFrame schema?,df.schema(),df.showSchema(),df.printSchema(),df.describe(),C,Average
What is the role of Executor?,Job scheduling,Task execution,Plan creation,Resource allocation,B,Average
Which API supports SQL queries?,RDD,Spark SQL,MLlib,GraphX,B,Average
Which file format is columnar?,CSV,JSON,Parquet,TXT,C,Average
What happens when cache() is called?,Immediate caching,Caching after action,Caching on disk only,Caching on driver,B,Average
Which join avoids shuffle when small table is used?,Sort Merge Join,Shuffle Hash Join,Broadcast Join,Nested Loop Join,C,Average
Which function applies a function to each row?,map,mapPartitions,foreach,reduce,A,Average
Which DataFrame operation returns a new DataFrame?,show(),count(),collect(),select(),D,Average
Which API is optimized using Catalyst?,RDD,DataFrame,Accumulator,Broadcast,B,Average
What does df.collect() do?,Prints rows,Returns all data to driver,Counts rows,Caches data,B,Average
Which transformation preserves partitioning?,map,filter,groupByKey,reduceByKey,B,Average
Which is NOT a Spark cluster mode?,Local,Standalone,YARN,Mesos,Cassandra,D,Average
Which operation is narrow?,map,groupBy,join,repartition,A,Average
Which Spark UI port is default?,8080,4040,9090,7077,B,Average
Which component handles task scheduling?,Driver,Executor,DAG Scheduler,Task Scheduler,D,Average
Which is better than groupByKey for aggregation?,groupByKey,reduceByKey,map,filter,B,Average
Which API is deprecated in Spark 3.x?,RDD,Dataset,SparkContext,HiveContext,D,Average
Which function changes number of partitions?,map,coalesce,filter,select,B,Average
Which Spark variable is read-only across nodes?,Accumulator,Broadcast,RDD,Dataset,B,Average
Which DataFrame function adds a column?,withColumn,addColumn,append,insert,A,Average
Which operation forces full shuffle?,coalesce,repartition,cache,filter,B,Average
What does repartition() do?,Reduce partitions,Increase or decrease partitions,Cache data,Sort data,B,Average
Which Spark library is used for machine learning?,MLlib,GraphX,Streaming,SQL,A,Average
Which API handles graph processing?,SQL,MLlib,GraphX,Streaming,C,Average
Which transformation changes data type?,map,mapPartitions,flatMap,filter,C,Average
